# node_id   x   y   h
362 2.42113279e+01 -1.58850613e+01 7.55718027e+00
363 2.55190202e+01 -1.58850613e+01 8.20204127e+00
364 -2.61348259e+01 -1.47525665e+01 8.64248290e+00
365 -2.48271336e+01 -1.47525665e+01 8.00932849e+00
366 -2.35194413e+01 -1.47525665e+01 7.37617408e+00
367 -2.22117490e+01 -1.47525665e+01 6.74301967e+00
368 -2.09040567e+01 -1.47525665e+01 6.11062371e+00
369 -1.95963644e+01 -1.47525665e+01 5.48303523e+00
370 -1.82886721e+01 -1.47525665e+01 4.86239071e+00
371 -1.69809798e+01 -1.47525665e+01 4.25174173e+00
372 -1.56732875e+01 -1.47525665e+01 3.65610778e+00
373 -1.43655952e+01 -1.47525665e+01 3.06773172e+00
374 -1.30579028e+01 -1.47525665e+01 2.47925675e+00
375 -1.17502105e+01 -1.47525665e+01 1.91028225e+00
376 -1.04425182e+01 -1.47525665e+01 1.35539624e+00
377 -9.13482592e+00 -1.47525665e+01 8.00510220e-01
378 -7.82713362e+00 -1.47525665e+01 2.90915706e-01
379 3.94209715e+00 -1.47525665e+01 2.92075225e-01
380 5.24978946e+00 -1.47525665e+01 8.61977518e-01
381 6.55748177e+00 -1.47525665e+01 1.43187981e+00
382 7.86517408e+00 -1.47525665e+01 1.05038950e+00
383 9.17286638e+00 -1.47525665e+01 7.47665626e-01
384 1.04805587e+01 -1.47525665e+01 9.37857978e-01
385 1.17882510e+01 -1.47525665e+01 1.43573485e+00
386 1.30959433e+01 -1.47525665e+01 2.02483222e+00
387 1.44036356e+01 -1.47525665e+01 2.64465510e+00
388 1.57113279e+01 -1.47525665e+01 3.27776616e+00
389 1.70190202e+01 -1.47525665e+01 3.91771205e+00
390 1.83267125e+01 -1.47525665e+01 4.56161080e+00
391 1.96344048e+01 -1.47525665e+01 5.20799363e+00
392 2.09420972e+01 -1.47525665e+01 5.85603663e+00
393 2.22497895e+01 -1.47525665e+01 6.50524291e+00
394 2.35574818e+01 -1.47525665e+01 7.15529539e+00
395 2.48651741e+01 -1.47525665e+01 7.80598239e+00
396 2.61728664e+01 -1.47525665e+01 8.45715729e+00
397 -2.54809798e+01 -1.36200718e+01 8.46750954e+00
398 -2.41732875e+01 -1.36200718e+01 7.83772983e+00
399 -2.28655952e+01 -1.36200718e+01 7.21224266e+00
400 -2.15579028e+01 -1.36200718e+01 6.59227247e+00
401 -2.02502105e+01 -1.36200718e+01 5.97953937e+00
402 -1.89425182e+01 -1.36200718e+01 5.37652440e+00
403 -1.76348259e+01 -1.36200718e+01 4.78569997e+00
404 -1.63271336e+01 -1.36200718e+01 4.19732392e+00
405 -1.50194413e+01 -1.36200718e+01 3.60964196e+00
406 -1.37117490e+01 -1.36200718e+01 3.04219666e+00
407 -1.24040567e+01 -1.36200718e+01 2.48731064e+00
408 -1.10963644e+01 -1.36200718e+01 1.93242463e+00
409 -9.78867208e+00 -1.36200718e+01 1.40539242e+00
410 -8.48097977e+00 -1.36200718e+01 9.06406906e-01
411 -7.17328746e+00 -1.36200718e+01 4.07399696e-01
412 3.28825100e+00 -1.36200718e+01 3.79427142e-01
413 4.59594331e+00 -1.36200718e+01 8.94754950e-01
414 5.90363562e+00 -1.36200718e+01 1.42451959e+00
415 7.21132792e+00 -1.36200718e+01 1.02810290e+00
416 8.51902023e+00 -1.36200718e+01 4.51523788e-01
417 9.82671254e+00 -1.36200718e+01 3.03962639e-01
418 1.11344048e+01 -1.36200718e+01 9.21426727e-01
419 1.24420972e+01 -1.36200718e+01 1.56884987e+00
420 1.37497895e+01 -1.36200718e+01 2.22005808e+00
421 1.50574818e+01 -1.36200718e+01 2.87246924e+00
422 1.63651741e+01 -1.36200718e+01 3.52541365e+00
423 1.76728664e+01 -1.36200718e+01 4.17864075e+00
424 1.89805587e+01 -1.36200718e+01 4.83203565e+00
425 2.02882510e+01 -1.36200718e+01 5.48553829e+00
426 2.15959433e+01 -1.36200718e+01 6.13911420e+00
427 2.29036356e+01 -1.36200718e+01 6.79274221e+00
428 2.42113279e+01 -1.36200718e+01 7.44640857e+00
429 2.55190202e+01 -1.36200718e+01 8.10010398e+00
430 -2.61348259e+01 -1.24875770e+01 8.94172397e+00
431 -2.48271336e+01 -1.24875770e+01 8.32216779e+00
432 -2.35194413e+01 -1.24875770e+01 7.70828819e+00
433 -2.22117490e+01 -1.24875770e+01 7.10156021e+00
434 -2.09040567e+01 -1.24875770e+01 6.50398969e+00
